product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,Galaxy Buds Live,Samsung,Electronics,Headphones,287.0,28,5.0,High-quality headphones from Samsung. Galaxy Buds Live features premium materials and cutting-edge technology. Perfect for both personal and professional use.
2,WF-1000XM5,Sony,Electronics,Headphones,618.49,19,5.0,High-quality headphones from Sony. WF-1000XM5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
3,Galaxy Tab A8,Samsung,Electronics,Tablets,995.99,78,5.0,High-quality tablets from Samsung. Galaxy Tab A8 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
4,"iPad Pro 11""",Apple,Electronics,Tablets,1112.95,77,5.0,"High-quality tablets from Apple. iPad Pro 11"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
5,Galaxy Buds FE,Samsung,Electronics,Headphones,143.95,50,5.0,High-quality headphones from Samsung. Galaxy Buds FE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
6,Blazer Mid,Nike,Clothing,Shoes,89.79,178,3.5,Stylish and comfortable shoes from Nike. Blazer Mid is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
7,Creator 3-in-1 Set,LEGO,Toys,Building Sets,38.49,276,3.5,Fun and educational building sets from LEGO. Creator 3-in-1 Set encourages creativity and learning through play. Safe for children and built to last.
8,Foaming Facial Cleanser,CeraVe,Beauty,Skincare,78.49,98,5.0,Professional-grade skincare from CeraVe. Foaming Facial Cleanser delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
9,Pro Shorts,Nike,Clothing,Activewear,93.99,73,5.0,Stylish and comfortable activewear from Nike. Pro Shorts is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
10,Trefoil T-Shirt,Adidas,Clothing,Activewear,98.99,60,3.5,Stylish and comfortable activewear from Adidas. Trefoil T-Shirt is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
11,Trefoil Socks,Adidas,Clothing,Accessories,13.95,51,4.6,Stylish and comfortable accessories from Adidas. Trefoil Socks is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
12,Lightful C Marine-Bright,MAC,Beauty,Skincare,155.49,94,1.3,Professional-grade skincare from MAC. Lightful C Marine-Bright delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
13,FX30,Sony,Electronics,Cameras,2206.0,94,5.0,High-quality cameras from Sony. FX30 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
14,WH-CH720N,Sony,Electronics,Headphones,167.95,87,5.0,High-quality headphones from Sony. WH-CH720N features premium materials and cutting-edge technology. Perfect for both personal and professional use.
15,iPhone 14,Apple,Electronics,Smartphones,865.95,59,2.2,High-quality smartphones from Apple. iPhone 14 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
16,Swoosh Cap,Nike,Clothing,Accessories,30.95,186,5.0,Stylish and comfortable accessories from Nike. Swoosh Cap is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
17,Barbie Fashionista Doll,Mattel,Toys,Dolls,37.95,455,4.7,Fun and educational dolls from Mattel. Barbie Fashionista Doll encourages creativity and learning through play. Safe for children and built to last.
18,Galaxy S24 Ultra,Samsung,Electronics,Smartphones,1153.79,41,4.4,High-quality smartphones from Samsung. Galaxy S24 Ultra features premium materials and cutting-edge technology. Perfect for both personal and professional use.
19,Windbreaker,Nike,Clothing,Activewear,74.0,199,4.2,Stylish and comfortable activewear from Nike. Windbreaker is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
20,Galaxy Z Fold5,Samsung,Electronics,Smartphones,826.79,68,4.5,High-quality smartphones from Samsung. Galaxy Z Fold5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
21,Alpha 7R V,Sony,Electronics,Cameras,1690.49,99,4.2,High-quality cameras from Sony. Alpha 7R V features premium materials and cutting-edge technology. Perfect for both personal and professional use.
22,Galaxy Buds2,Samsung,Electronics,Headphones,132.99,78,5.0,High-quality headphones from Samsung. Galaxy Buds2 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
23,HEMNES Dresser,IKEA,Home,Furniture,237.79,80,5.0,Beautiful and functional furniture from IKEA. HEMNES Dresser combines style and practicality to enhance your living space. Easy to assemble and maintain.
24,Denali Fleece Jacket,North Face,Sports,Outdoor,127.0,167,1.7,High-performance outdoor from North Face. Denali Fleece Jacket is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
25,3-Stripes Cap,Adidas,Clothing,Accessories,53.49,152,5.0,Stylish and comfortable accessories from Adidas. 3-Stripes Cap is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
26,Ruby Woo Lipstick,MAC,Beauty,Makeup,113.95,169,4.7,Professional-grade makeup from MAC. Ruby Woo Lipstick delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
27,Superstar,Adidas,Clothing,Shoes,92.99,140,4.3,Stylish and comfortable shoes from Adidas. Superstar is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
28,iPhone 15,Apple,Electronics,Smartphones,1463.99,25,4.6,High-quality smartphones from Apple. iPhone 15 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
29,Water Bottle,Nike,Clothing,Accessories,70.0,189,5.0,Stylish and comfortable accessories from Nike. Water Bottle is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
30,Galaxy S24+,Samsung,Electronics,Smartphones,483.79,9,4.3,High-quality smartphones from Samsung. Galaxy S24+ features premium materials and cutting-edge technology. Perfect for both personal and professional use.
31,"iPad Pro 12.9""",Apple,Electronics,Tablets,1123.0,19,5.0,"High-quality tablets from Apple. iPad Pro 12.9"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
32,Galaxy Tab S9,Samsung,Electronics,Tablets,445.79,5,5.0,High-quality tablets from Samsung. Galaxy Tab S9 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
33,Pulse 3D Headset,Sony,Electronics,Gaming,326.49,11,3.3,High-quality gaming from Sony. Pulse 3D Headset features premium materials and cutting-edge technology. Perfect for both personal and professional use.
34,Marble Table Lamp,West Elm,Home,Decor,265.49,85,4.0,Beautiful and functional decor from West Elm. Marble Table Lamp combines style and practicality to enhance your living space. Easy to assemble and maintain.
35,True Match Foundation,L'Oréal,Beauty,Makeup,76.0,160,2.3,Professional-grade makeup from L'Oréal. True Match Foundation delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
36,Leggings,Nike,Clothing,Activewear,117.49,51,1.6,Stylish and comfortable activewear from Nike. Leggings is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
37,Gazelle,Adidas,Clothing,Shoes,114.95,60,4.0,Stylish and comfortable shoes from Adidas. Gazelle is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
38,Better Sweater Jacket,Patagonia,Sports,Outdoor,83.49,43,3.8,High-performance outdoor from Patagonia. Better Sweater Jacket is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
39,iPhone 14 Pro,Apple,Electronics,Smartphones,1769.99,64,5.0,High-quality smartphones from Apple. iPhone 14 Pro features premium materials and cutting-edge technology. Perfect for both personal and professional use.
40,Tech 2.0 T-Shirt,Under Armour,Sports,Fitness,98.95,147,5.0,High-performance fitness from Under Armour. Tech 2.0 T-Shirt is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
41,Galaxy Watch6,Samsung,Electronics,Accessories,45.0,262,5.0,High-quality accessories from Samsung. Galaxy Watch6 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
42,iPad,Apple,Electronics,Tablets,982.95,63,5.0,High-quality tablets from Apple. iPad features premium materials and cutting-edge technology. Perfect for both personal and professional use.
43,Galaxy S24,Samsung,Electronics,Smartphones,466.79,70,5.0,High-quality smartphones from Samsung. Galaxy S24 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
44,Alpha 7 IV,Sony,Electronics,Cameras,2386.99,40,5.0,High-quality cameras from Sony. Alpha 7 IV features premium materials and cutting-edge technology. Perfect for both personal and professional use.
45,AirPods Pro (2nd gen),Apple,Electronics,Headphones,271.0,69,3.0,High-quality headphones from Apple. AirPods Pro (2nd gen) features premium materials and cutting-edge technology. Perfect for both personal and professional use.
46,Lightning to USB-C Cable,Apple,Electronics,Accessories,242.0,80,5.0,High-quality accessories from Apple. Lightning to USB-C Cable features premium materials and cutting-edge technology. Perfect for both personal and professional use.
47,WF-1000XM4,Sony,Electronics,Headphones,228.95,62,4.3,High-quality headphones from Sony. WF-1000XM4 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
48,Vice Lipstick,Urban Decay,Beauty,Makeup,60.79,159,4.8,Professional-grade makeup from Urban Decay. Vice Lipstick delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
49,Naked Eyeshadow Palette,Urban Decay,Beauty,Makeup,63.95,198,3.3,Professional-grade makeup from Urban Decay. Naked Eyeshadow Palette delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
50,NMD R1,Adidas,Clothing,Shoes,89.49,31,4.4,Stylish and comfortable shoes from Adidas. NMD R1 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
51,Organic Cotton Sheet Set,Pottery Barn,Home,Bedding,465.49,54,5.0,Beautiful and functional bedding from Pottery Barn. Organic Cotton Sheet Set combines style and practicality to enhance your living space. Easy to assemble and maintain.
