product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
1,UNI2462B,A-Line Dress - Navy (Extra Large),Uniqlo,Clothing,Dresses,83.01,High-quality dresses from Uniqlo. Designed for durability and performance.,0.56,15x12x9 cm,Pink,Medium,129,3.7,52,False,False,Light
2,BOS1828C,Samsung Galaxy Tab S9 - Purple,Bose,Electronics,Tablets,593.24,High-quality tablets from Bose. Designed for durability and performance.,1.39,17x21x12 cm,Red,One Size,675,4.5,375,False,False,Light
3,WAY2480C,Shoe Rack - Silver,Wayfair,Home,Storage,24.94,The Shoe Rack - Silver delivers exceptional value and quality. Perfect for everyday use.,2.6,34x33x18 cm,Gray,One Size,0,5.0,449,True,False,Standard
4,HOT1138B,Hot Wheels Collectible Figure,Hot Wheels,Toys,Action Figures,32.72,"Discover why the Hot Wheels Collectible Figure is a customer favorite. Reliable, stylish, and affordable.",1.73,24x18x8 cm,Orange,One Size,186,5.0,266,False,False,Light
5,SPA7131C,Spalding Running Shorts,Spalding,Sports,Running,77.23,Experience the difference with the Spalding Running Shorts. Premium materials and expert craftsmanship.,4.38,36x39x16 cm,Beige,One Size,21,5.0,191,False,False,Standard
6,LEN9148C,Lenovo Ring Video Doorbell,Lenovo,Electronics,Smart Home,125.99,The Lenovo Ring Video Doorbell delivers exceptional value and quality. Perfect for everyday use.,0.75,17x27x15 cm,Gold,One Size,14,3.9,78,False,True,Digital
7,EST3967C,Body Scrub,Estée Lauder,Beauty,Body Care,8.42,The Body Scrub delivers exceptional value and quality. Perfect for everyday use.,0.48,10x15x2 cm,Blue,One Size,232,3.6,76,False,False,Light
8,CLI8598A,Clinique Cologne,Clinique,Beauty,Men's Grooming,26.17,The Clinique Cologne delivers exceptional value and quality. Perfect for everyday use.,0.3,15x11x6 cm,Black,One Size,163,0.0,0,False,False,Light
9,H&M8496B,H&M Shift Dress,H&M,Clothing,Dresses,67.97,Experience the difference with the H&M Shift Dress. Premium materials and expert craftsmanship.,0.62,10x24x9 cm,Beige,M,129,4.1,65,False,False,Light
10,HP8821D,HP Microsoft Surface Pro,HP,Electronics,Tablets,103.27,The HP Microsoft Surface Pro delivers exceptional value and quality. Perfect for everyday use.,0.13,5x15x7 cm,Navy,One Size,8,4.2,155,False,False,Light
11,MAY1749C,Maybelline Solid Perfume - White,Maybelline,Beauty,Fragrance,190.72,The Maybelline Solid Perfume - White delivers exceptional value and quality. Perfect for everyday use.,0.24,12x10x8 cm,Gold,One Size,139,4.9,401,False,False,Light
12,CRA1359B,Bookshelf - Navy,Crate & Barrel,Home,Furniture,142.37,Experience the difference with the Bookshelf - Navy. Premium materials and expert craftsmanship.,39.71,59x23x29 cm,Various,One Size,14,3.2,86,False,False,Heavy
13,LEG5140D,LEGO Action Figure Set - Gray,LEGO,Toys,Action Figures,96.82,The LEGO Action Figure Set - Gray combines form and function for the perfect addition to your collection.,0.69,29x14x11 cm,Various,One Size,0,5.0,101,False,False,Light
14,MEL4272C,Baby Doll,Melissa & Doug,Toys,Dolls,69.05,The Baby Doll combines form and function for the perfect addition to your collection.,1.09,16x25x10 cm,Black,One Size,109,4.1,30,False,False,Light
15,SON2659C,Lightning Cable - Navy,Sony,Electronics,Accessories,130.65,The Lightning Cable - Navy delivers exceptional value and quality. Perfect for everyday use.,1.76,19x21x15 cm,Navy,One Size,72,3.9,17,False,False,Light
16,LOG8171C,Logitech Samsung Galaxy S24 - Yellow,Logitech,Electronics,Smartphones,1323.79,The Logitech Samsung Galaxy S24 - Yellow delivers exceptional performance with its powerful processor and stunning display. Perfect for work and play.,1.93,18x22x12 cm,Orange,One Size,550,3.6,56,False,False,Light
17,ZAR8908D,Jeans (Large),Zara,Clothing,Bottoms,42.22,The Jeans (Large) delivers exceptional value and quality. Perfect for everyday use.,0.34,12x6x5 cm,White,XXL,12,3.2,98,True,False,Light
18,MON2560D,Monopoly Candy Land,Monopoly,Toys,Board Games,107.71,The Monopoly Candy Land combines form and function for the perfect addition to your collection.,1.81,29x11x5 cm,Red,One Size,178,4.7,126,False,False,Light
19,BIS4946C,Bissell Outdoor Furniture,Bissell,Home,Garden,388.95,"Discover why the Bissell Outdoor Furniture is a customer favorite. Reliable, stylish, and affordable.",1.33,17x12x12 cm,Brown,One Size,0,4.2,184,False,False,Light
20,WAY1291A,Garden Tools,Wayfair,Home,Garden,179.27,The Garden Tools combines form and function for the perfect addition to your collection.,2.9,60x39x26 cm,Orange,One Size,0,3.4,16,False,False,Standard
21,EST6439D,Makeup Brushes,Estée Lauder,Beauty,Tools,22.35,High-quality tools from Estée Lauder. Designed for durability and performance.,0.04,15x9x6 cm,Navy,One Size,29,3.4,33,False,False,Light
22,ZAR4532D,Zara Compression Shirt (One Size),Zara,Clothing,Activewear,85.96,"Discover why the Zara Compression Shirt (One Size) is a customer favorite. Reliable, stylish, and affordable.",0.12,15x15x6 cm,Gold,Extra Large,546,0.0,0,False,False,Light
23,BRO8091D,Brooks Basketball - Gold,Brooks,Sports,Team Sports,139.79,The Brooks Basketball - Gold delivers exceptional value and quality. Perfect for everyday use.,0.97,29x29x10 cm,Pink,One Size,50,4.0,64,False,False,Light
24,REE8419B,Beach Towel,Reebok,Sports,Water Sports,56.09,The Beach Towel combines form and function for the perfect addition to your collection.,4.37,55x60x16 cm,Brown,One Size,196,5.0,481,False,False,Standard
25,STA3913C,Art Supplies,Star Wars,Toys,Educational,89.59,"Discover why the Art Supplies is a customer favorite. Reliable, stylish, and affordable.",1.41,27x19x11 cm,Various,One Size,154,4.0,190,False,False,Light
26,SON3636C,Sony Amazon Echo Dot - Beige,Sony,Electronics,Smart Home,282.85,The Sony Amazon Echo Dot - Beige delivers exceptional value and quality. Perfect for everyday use.,1.53,11x21x12 cm,Silver,One Size,263,3.3,42,False,False,Light
