order_id,user_id,order_date,status,total_amount,order_source,payment_method,shipping_method,promo_code,shipping_address_id,billing_address_id,customer_notes,order_priority,timezone,shipping_region
1,1,2025-05-22,delivered,340.68,mobile_web,debit_card,standard,,641,641,,standard,EST,EST
2,21,2024-10-14,delivered,227.76,mobile_app,credit_card,standard,,292,292,,standard,MST,MST
3,12,2025-08-03,delivered,209.54,web,debit_card,standard,,140,140,,standard,MST,MST
4,36,2024-11-05,delivered,1728.9,web,credit_card,standard,,193,193,,standard,EST,EST
5,52,2025-01-10,delivered,2502.88,mobile_app,paypal,economy,WELCOME10,129,129,,standard,CST,CST
6,46,2025-02-10,delivered,81.19,web,paypal,economy,,351,351,,standard,EST,EST
7,86,2025-05-31,delivered,121.06,web,debit_card,economy,,33,33,,standard,EST,EST
8,51,2025-03-15,delivered,712.31,api,apple_pay,economy,HOLIDAY15,482,482,,standard,MST,MST
9,96,2024-12-24,delivered,766.08,web,credit_card,standard,,395,395,Gift - please wrap,standard,CST,CST
10,76,2025-05-19,delivered,508.58,mobile_web,credit_card,economy,HOLIDAY15,97,97,,standard,CST,CST
11,26,2025-02-06,delivered,299.38,mobile_web,credit_card,standard,,331,331,,standard,EST,EST
12,67,2025-07-16,delivered,3234.79,mobile_web,paypal,express,,493,493,,standard,MST,MST
13,2,2025-06-26,delivered,438.76,web,credit_card,economy,,116,116,,standard,MST,MST
14,9,2025-04-05,shipped,115.9,mobile_web,credit_card,economy,,406,406,,standard,CST,CST
15,98,2024-09-18,returned,383.87,web,credit_card,economy,SUMMER25,611,611,,standard,CST,CST
16,71,2025-02-27,delivered,72.86,web,credit_card,economy,,347,778,,standard,EST,EST
17,37,2024-10-08,delivered,71.74,web,credit_card,express,,811,811,,standard,EST,EST
18,72,2025-01-04,delivered,556.99,mobile_app,credit_card,standard,,356,450,,standard,EST,EST
19,75,2024-12-11,delivered,372.41,web,apple_pay,standard,,257,497,,standard,CST,CST
20,45,2025-01-07,delivered,442.6,mobile_app,credit_card,standard,,581,581,,standard,CST,CST
21,81,2024-10-19,delivered,168.68,web,credit_card,express,,937,165,,medium,EST,EST
22,97,2025-07-01,delivered,135.04,web,debit_card,express,,376,376,,standard,EST,EST
23,29,2025-02-07,delivered,346.69,web,credit_card,economy,,635,795,,standard,MST,MST
24,25,2025-08-05,delivered,587.82,web,apple_pay,standard,NEWUSER,195,195,,medium,PST,PST
25,59,2025-03-22,delivered,328.39,web,paypal,standard,,657,657,,standard,PST,PST
26,92,2025-07-21,delivered,863.07,mobile_app,debit_card,economy,SAVE20,33,33,,standard,MST,MST
27,74,2024-09-04,delivered,1616.92,web,credit_card,express,,674,674,,medium,EST,EST
28,100,2025-05-17,delivered,60.17,mobile_web,paypal,economy,SAVE20,73,73,,standard,CST,CST
29,34,2025-08-07,delivered,774.6,mobile_app,debit_card,economy,,480,63,,standard,Other,Other
30,23,2025-04-02,delivered,466.73,api,debit_card,economy,,814,814,,standard,EST,EST
31,53,2025-03-02,delivered,1418.47,web,credit_card,express,WELCOME10,80,984,,standard,MST,MST
32,65,2025-02-11,delivered,145.08,mobile_app,credit_card,standard,,198,198,,standard,EST,EST
33,14,2024-09-25,delivered,303.6,mobile_web,debit_card,economy,,426,426,,standard,MST,MST
34,10,2024-11-15,delivered,1244.08,mobile_app,debit_card,standard,,438,171,,standard,EST,EST
35,69,2025-03-24,delivered,412.86,mobile_app,debit_card,standard,,547,454,,standard,EST,EST
36,38,2025-01-22,delivered,201.53,mobile_app,credit_card,standard,,866,866,,standard,PST,PST
37,44,2025-05-03,delivered,1290.51,web,debit_card,economy,,577,577,,standard,CST,CST
38,61,2025-06-24,delivered,72.91,web,credit_card,express,,464,464,,standard,EST,EST
39,8,2025-03-16,delivered,927.09,mobile_web,credit_card,standard,,531,531,,standard,CST,CST
40,82,2025-05-04,shipped,336.55,web,paypal,economy,,323,323,,standard,EST,EST
41,95648,2025-02-22,delivered,1071.61,mobile_app,debit_card,standard,,570,570,,standard,EST,EST
42,90657,2025-06-26,delivered,365.57,web,credit_card,express,,272,272,,standard,PST,PST
43,97756,2024-09-24,delivered,191.04,mobile_app,apple_pay,express,,410,410,,medium,EST,EST
44,94533,2024-11-22,delivered,173.75,web,apple_pay,economy,,500,707,,standard,EST,EST
45,95244,2024-12-16,delivered,322.94,mobile_app,apple_pay,economy,SUMMER25,749,391,,standard,CST,CST
46,94408,2025-04-05,delivered,334.13,web,paypal,standard,,837,837,,standard,CST,CST
47,94008,2024-10-24,delivered,77.98,mobile_app,debit_card,standard,,870,870,,standard,EST,EST
48,95596,2025-08-30,shipped,36.65,web,debit_card,standard,,313,313,,standard,EST,EST
49,91552,2024-12-24,delivered,2113.36,mobile_app,credit_card,express,,157,157,,standard,EST,EST
50,91819,2025-02-21,delivered,42.92,mobile_app,debit_card,standard,,517,517,,standard,CST,CST
51,98618,2025-08-12,delivered,30.13,web,apple_pay,standard,FREESHIP,586,586,,medium,MST,MST
