product_id,name,category,price,stock_quantity,rating
1,Home Product 1,Electronics,874.88,164,3.9
2,Toys Product 2,Clothing,893.69,378,3.1
3,Electronics Product 3,Beauty,212.67,475,5.0
4,Sports Product 4,Electronics,44.26,449,5.0
5,Clothing Product 5,Toys,281.12,129,4.1
6,Beauty Product 6,Toys,825.67,443,5.0
7,Clothing Product 7,Sports,500.46,0,2.9
8,Toys Product 8,Sports,789.8,163,4.6
9,Clothing Product 9,Toys,833.94,487,2.2
10,Home Product 10,Electronics,820.25,274,2.8
11,Toys Product 11,Home,584.8,492,2.9
12,Beauty Product 12,Electronics,174.69,49,4.5
13,Electronics Product 13,Beauty,633.46,486,3.7
14,Electronics Product 14,Sports,306.95,301,4.3
15,Clothing Product 15,Clothing,765.44,179,3.8
16,Home Product 16,Toys,208.68,162,3.5
17,Beauty Product 17,Clothing,648.0,363,3.5
18,Home Product 18,Toys,90.3,5,4.5
19,Beauty Product 19,Toys,802.98,155,4.7
20,Toys Product 20,Electronics,318.18,96,2.9
21,Beauty Product 21,Clothing,972.77,155,5.0
22,Electronics Product 22,Electronics,462.75,75,2.9
23,Clothing Product 23,Home,260.89,386,3.3
24,Electronics Product 24,Clothing,129.99,255,4.7
25,Home Product 25,Toys,986.92,433,2.7
26,Electronics Product 26,Beauty,402.73,164,3.7
27,Clothing Product 27,Toys,668.79,396,4.1
28,Sports Product 28,Beauty,324.42,32,5.0
29,Electronics Product 29,Sports,229.76,308,4.1
30,Home Product 30,Clothing,573.52,443,3.9
31,Clothing Product 31,Electronics,398.74,434,3.5
32,Home Product 32,Home,483.65,117,4.7
33,Toys Product 33,Beauty,706.89,243,4.4
34,Beauty Product 34,Sports,286.08,143,4.1
35,Clothing Product 35,Electronics,158.44,365,4.7
36,Beauty Product 36,Beauty,539.84,495,3.7
37,Clothing Product 37,Clothing,120.49,142,4.0
38,Sports Product 38,Sports,677.51,486,4.5
39,Sports Product 39,Sports,593.29,455,3.5
40,Clothing Product 40,Electronics,238.17,395,3.6
41,Beauty Product 41,Sports,273.03,403,4.8
42,Toys Product 42,Beauty,190.28,194,4.0
43,Beauty Product 43,Electronics,892.21,72,4.9
44,Home Product 44,Beauty,321.77,9,4.5
45,Clothing Product 45,Beauty,911.15,326,2.5
46,Beauty Product 46,Toys,27.33,377,3.5
47,Clothing Product 47,Clothing,395.69,137,3.7
48,Sports Product 48,Sports,905.43,364,3.5
49,Beauty Product 49,Clothing,717.95,85,3.6
50,Beauty Product 50,Toys,65.27,130,4.7
51,Sports Product 51,Home,497.47,362,5.0
52,Toys Product 52,Home,131.81,274,5.0
53,Home Product 53,Clothing,146.12,445,4.1
54,Clothing Product 54,Home,446.6,343,4.0
55,Clothing Product 55,Home,875.91,22,4.9
56,Clothing Product 56,Toys,367.43,343,5.0
57,Clothing Product 57,Clothing,686.2,254,4.7
58,Toys Product 58,Toys,231.14,390,3.4
59,Electronics Product 59,Clothing,406.25,385,3.7
60,Sports Product 60,Clothing,119.86,3,4.4
61,Home Product 61,Home,139.03,358,4.4
62,Sports Product 62,Sports,655.06,454,4.5
63,Clothing Product 63,Toys,16.65,227,4.2
64,Electronics Product 64,Beauty,715.19,250,3.6
65,Electronics Product 65,Beauty,864.93,54,3.7
66,Sports Product 66,Sports,257.65,463,3.6
67,Beauty Product 67,Clothing,874.6,245,4.3
68,Toys Product 68,Electronics,733.72,231,3.5
69,Home Product 69,Electronics,824.57,25,3.9
70,Electronics Product 70,Clothing,787.97,438,4.2
71,Toys Product 71,Beauty,6.5,98,1.9
72,Clothing Product 72,Electronics,680.09,65,5.0
73,Beauty Product 73,Sports,452.14,407,4.2
74,Home Product 74,Electronics,988.52,427,3.1
75,Clothing Product 75,Sports,582.45,427,3.6
76,Sports Product 76,Electronics,605.8,324,4.2
77,Toys Product 77,Beauty,999.58,208,5.0
78,Electronics Product 78,Clothing,271.67,117,3.5
79,Sports Product 79,Toys,771.99,33,2.4
80,Beauty Product 80,Electronics,60.16,31,4.0
81,Electronics Product 81,Toys,494.25,85,3.9
82,Clothing Product 82,Electronics,631.49,438,3.5
83,Beauty Product 83,Toys,210.78,232,4.7
84,Home Product 84,Toys,477.1,185,3.7
85,Toys Product 85,Toys,459.32,398,3.6
86,Clothing Product 86,Clothing,284.91,274,4.6
87,Home Product 87,Sports,610.22,141,4.0
88,Electronics Product 88,Toys,678.64,65,3.6
89,Home Product 89,Electronics,92.16,172,2.9
90,Toys Product 90,Home,159.18,336,4.8
91,Electronics Product 91,Sports,957.3,209,4.4
92,Home Product 92,Sports,44.17,482,3.8
93,Sports Product 93,Sports,113.06,262,4.9
94,Toys Product 94,Toys,813.52,47,2.9
95,Sports Product 95,Toys,809.93,397,5.0
96,Beauty Product 96,Home,954.47,379,4.3
97,Toys Product 97,Home,866.72,281,3.9
98,Toys Product 98,Beauty,220.35,203,4.7
99,Home Product 99,Beauty,682.13,248,5.0
100,Electronics Product 100,Beauty,201.91,240,3.7
101,Clothing Product 101,Clothing,825.22,422,3.7
102,Electronics Product 102,Toys,524.58,400,3.5
103,Sports Product 103,Home,466.5,141,3.7
104,Toys Product 104,Clothing,503.31,131,3.5
105,Clothing Product 105,Clothing,29.21,332,5.0
106,Home Product 106,Home,717.68,93,4.4
107,Toys Product 107,Home,171.42,117,4.8
108,Toys Product 108,Beauty,141.32,246,3.2
109,Sports Product 109,Electronics,304.54,246,5.0
110,Home Product 110,Toys,492.17,381,3.6
111,Sports Product 111,Clothing,511.72,16,4.9
112,Home Product 112,Home,658.78,170,4.1
113,Sports Product 113,Home,70.35,365,3.8
114,Beauty Product 114,Toys,341.85,288,4.9
115,Electronics Product 115,Beauty,248.34,402,4.3
116,Electronics Product 116,Beauty,405.94,70,5.0
117,Home Product 117,Clothing,511.59,452,3.6
118,Home Product 118,Electronics,850.17,310,3.8
119,Clothing Product 119,Electronics,861.05,202,3.1
120,Clothing Product 120,Sports,537.18,381,3.8
121,Electronics Product 121,Sports,787.03,369,3.9
122,Electronics Product 122,Beauty,406.81,373,4.5
123,Beauty Product 123,Toys,988.02,471,3.9
124,Home Product 124,Toys,130.57,203,4.7
125,Home Product 125,Clothing,147.37,388,4.1
126,Electronics Product 126,Sports,296.77,48,4.9
127,Home Product 127,Clothing,108.62,423,4.3
128,Clothing Product 128,Electronics,10.5,369,3.3
129,Home Product 129,Beauty,330.17,258,4.1
130,Clothing Product 130,Clothing,51.1,333,5.0
131,Sports Product 131,Toys,584.47,477,4.6
132,Home Product 132,Electronics,836.19,55,3.6
133,Sports Product 133,Electronics,186.35,286,4.1
134,Electronics Product 134,Clothing,602.92,49,3.3
135,Home Product 135,Clothing,245.6,292,3.7
136,Toys Product 136,Sports,531.93,215,4.9
137,Toys Product 137,Sports,536.87,337,2.7
138,Beauty Product 138,Home,56.27,292,3.4
139,Toys Product 139,Toys,930.25,280,2.9
140,Toys Product 140,Electronics,181.78,121,3.0
141,Toys Product 141,Home,578.18,463,3.5
142,Toys Product 142,Sports,460.82,24,3.8
