order_id,user_id,order_date,status,total_amount,order_source,payment_method,shipping_method,promo_code,shipping_address_id,billing_address_id,customer_notes,order_priority,timezone,shipping_region
1,65,2025-05-22,delivered,40.56,mobile_web,credit_card,standard,,432,432,,standard,PST,PST
2,27,2024-10-14,delivered,295.98,web,apple_pay,economy,,682,122,,standard,MST,MST
3,19,2025-08-03,delivered,682.21,mobile_app,credit_card,express,,333,333,,standard,MST,MST
4,48,2024-11-05,delivered,234.47,web,debit_card,economy,,846,846,,standard,PST,PST
5,70,2025-01-10,delivered,67.94,api,debit_card,economy,SAVE20,14,14,,standard,EST,EST
6,22,2025-02-10,delivered,4778.51,mobile_web,credit_card,standard,,756,756,,standard,CST,CST
7,32,2025-05-31,delivered,121.73,web,credit_card,standard,HOLIDAY15,157,157,,standard,CST,CST
8,69,2025-03-15,delivered,47.17,web,apple_pay,express,FREESHIP,254,254,,medium,MST,MST
9,55,2024-12-24,delivered,352.71,mobile_app,paypal,economy,,748,748,,standard,MST,MST
10,72,2025-05-19,delivered,440.49,mobile_app,debit_card,standard,,235,235,,standard,EST,EST
11,58,2025-02-06,delivered,83.21,mobile_app,credit_card,standard,,19,19,,standard,EST,EST
12,6,2025-07-16,delivered,583.09,mobile_web,credit_card,economy,,649,228,,standard,CST,CST
13,1,2025-06-26,delivered,137.94,web,paypal,economy,,312,312,,standard,CST,CST
14,60,2025-04-05,delivered,76.03,web,credit_card,economy,,917,917,,standard,CST,CST
15,80,2024-09-18,returned,242.79,web,credit_card,standard,SUMMER25,293,293,,standard,CST,CST
16,38,2025-02-27,delivered,500.75,mobile_app,paypal,standard,,373,373,,medium,Other,Other
17,84,2024-10-08,delivered,742.2,web,credit_card,standard,,134,134,,standard,PST,PST
18,95,2025-01-04,delivered,1101.02,web,debit_card,standard,,381,381,,standard,CST,CST
19,88,2024-12-11,delivered,469.02,web,credit_card,economy,WELCOME10,761,761,,standard,Other,Other
20,8,2025-01-07,returned,1269.24,mobile_web,credit_card,standard,,838,838,,standard,EST,EST
