order_id,product_id,quantity,unit_price,total_price,discount_amount,discount_rate,tax_amount,tax_rate,shipping_cost,product_variant,is_gift_wrapped,is_bulk_order,cross_sell_item
1,58,2,15.87,40.56,1.59,0.05,2.41,0.08,7.99,Standard,False,False,False
2,13,3,46.93,129.63,28.16,0.2,9.01,0.08,7.99,Standard,False,False,False
2,42,1,25.91,36.44,4.19,0.162,1.74,0.08,12.99,Standard,False,False,True
2,48,2,64.65,129.91,21.04,0.163,8.66,0.08,12.99,Standard,False,False,True
3,62,1,560.81,582.58,28.04,0.05,42.62,0.08,7.19,Standard,False,False,False
3,44,1,92.77,99.63,18.55,0.2,5.94,0.08,19.48,Standard,False,False,False
4,68,1,128.63,144.51,12.86,0.1,9.26,0.08,19.48,Standard,False,False,False
4,23,1,79.19,89.96,7.92,0.1,5.7,0.08,12.99,Standard,False,False,False
5,165,1,89.87,67.94,26.96,0.3,5.03,0.08,0.0,Standard,False,False,False
6,159,17,399.0,4778.51,2374.03,0.35,352.71,0.08,16.89,Standard,False,True,False
7,110,1,78.18,79.76,11.73,0.15,5.32,0.08,7.99,Standard,False,False,False
7,67,7,4.07,41.97,2.85,0.1,2.05,0.08,14.29,Standard,False,False,False
8,151,1,31.65,47.17,0.0,0.0,2.53,0.08,12.99,Standard,False,False,False
9,139,1,88.75,94.25,8.87,0.1,6.39,0.08,7.99,Standard,False,False,False
9,191,1,91.46,97.66,13.06,0.143,6.27,0.08,12.99,Standard,False,False,True
9,103,1,149.39,160.8,14.94,0.1,10.76,0.08,15.59,Standard,False,False,False
10,168,2,33.86,68.15,10.16,0.15,4.6,0.08,5.99,Standard,False,False,False
10,177,11,37.4,372.34,82.28,0.2,26.33,0.08,16.89,Standard,False,True,False
11,129,1,77.05,83.21,0.0,0.0,6.16,0.08,0.0,Standard,False,False,False
12,96,4,164.96,583.09,131.97,0.2,42.23,0.08,12.99,Standard,False,False,False
13,75,1,116.63,137.94,0.0,0.0,9.33,0.08,11.98,Standard,False,False,False
14,87,1,52.36,76.03,0.0,0.0,4.19,0.08,19.48,Standard,False,False,False
15,182,1,210.37,242.79,0.0,0.0,16.83,0.08,15.59,Standard,False,False,False
16,196,6,100.1,500.75,150.14,0.25,36.03,0.08,14.29,Standard,False,False,False
17,104,10,95.11,684.59,332.9,0.35,49.46,0.08,16.89,Standard,False,True,False
17,50,1,48.11,57.61,6.8,0.141,3.31,0.08,12.99,Standard,False,False,True
18,104,14,102.43,1101.02,430.21,0.3,80.31,0.08,16.89,Standard,False,True,False
19,5,1,5.64,17.86,1.13,0.2,0.36,0.08,12.99,Standard,False,False,False
19,124,1,22.36,35.93,1.12,0.05,1.7,0.08,12.99,Standard,False,False,False
19,62,1,472.26,415.23,94.45,0.2,30.22,0.08,7.19,Standard,False,False,False
20,62,1,413.23,319.59,123.97,0.3,23.14,0.08,7.19,Standard,False,False,False
20,142,1,174.08,165.8,26.11,0.15,11.84,0.08,5.99,Standard,False,False,False
20,140,1,83.83,92.54,12.57,0.15,5.7,0.08,15.59,Standard,False,False,False
20,46,1,175.75,170.93,26.36,0.15,11.95,0.08,9.59,Standard,False,False,False
20,6,6,104.36,520.38,156.54,0.25,37.57,0.08,13.18,Standard,True,False,False
21,63,4,32.82,140.61,13.13,0.1,9.45,0.08,12.99,Standard,False,False,False
21,165,35,96.28,2729.68,842.49,0.25,202.2,0.08,0.0,Standard,False,True,False
22,91,2,239.66,451.99,71.9,0.15,32.59,0.08,11.98,Standard,False,False,False
22,125,1,132.04,140.69,19.81,0.15,8.98,0.08,19.48,Standard,False,False,False
22,124,8,17.66,128.69,35.31,0.25,8.47,0.08,14.29,Standard,False,False,False
22,170,1,208.82,177.35,62.65,0.3,11.69,0.08,19.48,Standard,False,False,False
23,59,4,104.35,396.15,62.61,0.15,28.38,0.08,12.99,Standard,False,False,False
23,57,1,863.54,854.95,86.35,0.1,62.17,0.08,15.59,Standard,False,False,False
24,90,11,173.94,1353.55,669.67,0.35,99.49,0.08,10.39,Standard,False,True,False
25,17,2,256.54,573.61,0.0,0.0,41.05,0.08,19.48,Standard,False,False,False
26,44,1,110.16,132.51,5.51,0.05,8.37,0.08,19.48,Standard,False,False,False
26,175,1,32.34,41.8,4.73,0.146,2.21,0.08,11.98,Standard,True,False,True
26,141,3,164.62,461.09,84.96,0.172,32.71,0.08,19.48,Standard,False,False,True
27,192,18,99.34,1377.2,536.46,0.3,100.14,0.08,25.33,Standard,False,True,False
27,102,1,14.54,27.13,1.45,0.1,1.05,0.08,12.99,Standard,False,False,False
27,22,1,115.91,125.66,11.59,0.1,8.35,0.08,12.99,Standard,False,False,False
28,99,3,23.2,76.9,10.44,0.15,4.73,0.08,12.99,Standard,False,False,False
28,181,5,38.42,149.13,67.23,0.35,9.99,0.08,14.29,Standard,False,False,False
29,192,18,106.44,1577.23,478.98,0.25,114.96,0.08,25.33,Standard,False,True,False
30,195,2,5.52,21.93,2.76,0.25,0.66,0.08,12.99,Standard,False,False,False
30,2,4,99.46,313.77,119.36,0.3,22.28,0.08,12.99,Standard,False,False,False
31,188,1,34.38,46.41,3.44,0.1,2.48,0.08,12.99,Standard,False,False,False
31,192,5,113.54,511.91,113.54,0.2,36.33,0.08,21.43,Standard,False,False,False
31,3,22,24.63,417.49,162.58,0.3,30.35,0.08,7.79,Standard,False,True,False
31,37,8,101.6,584.85,284.47,0.35,42.26,0.08,14.29,Standard,False,False,False
32,5,1,6.34,19.16,0.63,0.1,0.46,0.08,12.99,Standard,False,False,False
32,13,1,52.79,59.31,5.28,0.1,3.8,0.08,7.99,Standard,True,False,False
32,49,2,21.81,48.32,10.9,0.25,2.62,0.08,12.99,Standard,False,False,False
33,112,4,326.23,1210.91,195.74,0.15,88.73,0.08,12.99,Standard,False,False,False
33,107,1,298.12,295.93,36.13,0.121,20.96,0.08,12.99,Standard,False,False,True
34,30,1,28.71,35.9,2.87,0.1,2.07,0.08,7.99,Standard,False,False,False
34,147,1,2377.0,2326.03,237.7,0.1,171.14,0.08,15.59,Standard,False,False,False
35,30,1,27.12,32.88,4.07,0.15,1.84,0.08,7.99,Standard,False,False,False
35,2,5,85.25,290.51,170.51,0.4,20.46,0.08,14.29,Standard,False,False,False
35,166,1,116.77,101.27,35.03,0.3,6.54,0.08,12.99,Standard,False,False,False
36,125,3,100.97,232.12,106.02,0.35,15.75,0.08,19.48,Standard,False,False,False
36,71,1,11.34,23.4,1.7,0.15,0.77,0.08,12.99,Standard,False,False,False
37,68,86,114.34,8520.95,1966.58,0.2,629.31,0.08,25.33,Standard,False,True,False
38,46,1,175.75,170.93,26.36,0.15,11.95,0.08,9.59,Standard,False,False,False
39,89,7,100.62,608.53,140.86,0.2,45.08,0.08,0.0,Standard,False,False,False
39,138,17,15.55,210.29,79.33,0.3,14.81,0.08,10.39,Standard,False,True,False
40,3,4,26.39,91.5,26.39,0.25,6.33,0.08,5.99,Standard,False,False,False
41,124,1,22.36,35.93,1.12,0.05,1.7,0.08,12.99,Standard,False,False,False
41,192,3,106.44,278.13,79.83,0.25,19.16,0.08,19.48,Standard,False,False,False
42,93,1,111.35,123.82,11.13,0.1,8.02,0.08,15.59,Standard,False,False,False
42,117,3,115.76,331.8,52.09,0.15,23.62,0.08,12.99,Standard,True,False,False
42,188,3,32.47,102.41,14.61,0.15,6.62,0.08,12.99,Standard,False,False,False
43,68,1,142.92,173.83,0.0,0.0,11.43,0.08,19.48,Standard,False,False,False
43,49,1,29.08,44.4,0.0,0.0,2.33,0.08,12.99,Standard,True,False,False
44,105,1,25.53,37.81,2.55,0.1,1.84,0.08,12.99,Standard,False,False,False
44,156,9,55.29,444.21,99.52,0.2,31.85,0.08,14.29,Standard,False,False,False
45,14,1,206.54,227.5,10.33,0.05,15.7,0.08,15.59,Standard,False,False,False
45,174,3,55.79,155.22,32.52,0.194,10.79,0.08,9.59,Standard,False,False,True
46,146,1,36.65,53.19,1.83,0.05,2.79,0.08,15.59,Standard,False,False,False
46,170,1,238.66,225.68,47.73,0.2,15.27,0.08,19.48,Standard,False,False,False
47,172,1,195.07,194.66,29.26,0.15,13.26,0.08,15.59,Standard,False,False,False
47,146,2,33.83,79.65,8.34,0.123,4.75,0.08,15.59,Standard,False,False,True
48,56,2,179.39,368.21,35.88,0.1,25.83,0.08,19.48,Standard,False,False,False
