order_id,user_id,order_date,shipping_date,status,total_amount
1,9432,2025-07-24,2025-07-31,delivered,53.36
2,7,2025-04-02,2025-04-08,delivered,106.03
3,3998,2025-06-04,2025-06-10,delivered,32.16
4,1,2024-12-30,2025-01-05,shipped,169.41
5,1747,2025-04-29,2025-05-03,returned,200.45
6,3586,2025-07-14,2025-07-19,delivered,142.96
7,9,2025-05-15,2025-05-21,delivered,416.08
8,9133,2025-03-28,2025-04-04,delivered,184.81
9,2,2024-09-07,2024-09-13,delivered,147.66
10,7613,2025-05-21,2025-05-26,delivered,275.92
