product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
1,PAT5065C,Patagonia Bodycon Dress (One Size),Patagonia,Clothing,Dresses,49.1,The Patagonia Bodycon Dress (One Size) delivers exceptional value and quality. Perfect for everyday use.,8.18,34x27x11 cm,Various,One Size,14,4.8,163,False,False,Heavy
2,TAR9346D,Closet Organizer - Orange,Target,Home,Storage,142.31,Experience the difference with the Closet Organizer - Orange. Premium materials and expert craftsmanship.,1.87,21x7x5 cm,Yellow,One Size,89,4.5,109,False,False,Standard
3,ASI1027B,ASICS Hiking Boots,ASICS,Sports,Outdoor,128.34,The ASICS Hiking Boots combines form and function for the perfect addition to your collection.,3.21,12x24x18 cm,Pink,One Size,0,5.0,219,False,False,Heavy
4,PUM3851C,Puma Golf Clubs - Navy,Puma,Sports,Team Sports,69.82,The Puma Golf Clubs - Navy combines form and function for the perfect addition to your collection.,6.11,25x34x16 cm,Blue,One Size,82,5.0,270,False,False,Heavy
5,MON6491A,Monopoly Building Blocks,Monopoly,Toys,Building Sets,167.32,High-quality building sets from Monopoly. Designed for durability and performance.,0.56,35x44x4 cm,Gold,One Size,62,4.0,57,False,False,Light
6,HOT1090A,Hot Wheels Jump Rope,Hot Wheels,Toys,Outdoor,121.19,The Hot Wheels Jump Rope combines form and function for the perfect addition to your collection.,2.57,12x34x6 cm,Various,One Size,183,4.1,32,False,False,Standard
7,PAT9270D,Patagonia Bike Rack,Patagonia,Sports,Cycling,423.76,"Discover why the Patagonia Bike Rack is a customer favorite. Reliable, stylish, and affordable.",2.67,20x45x10 cm,Gray,One Size,45,3.3,65,False,False,Heavy
8,PHI9849A,Philips Mirrors - Gold,Philips,Home,Decor,44.91,High-quality decor from Philips. Designed for durability and performance.,4.21,26x39x16 cm,Blue,One Size,182,4.9,159,False,False,Standard
9,NOR5892D,North Face Pull-Up Bar,North Face,Sports,Fitness,173.62,The North Face Pull-Up Bar combines form and function for the perfect addition to your collection.,8.02,19x36x9 cm,Purple,One Size,112,5.0,426,True,False,Heavy
10,PAW9751A,Sandbox,Paw Patrol,Toys,Outdoor,137.9,"Discover why the Sandbox is a customer favorite. Reliable, stylish, and affordable.",1.9,21x29x12 cm,Yellow,One Size,26,3.7,22,False,False,Standard
11,URB1853C,Urban Decay Aftershave,Urban Decay,Beauty,Men's Grooming,15.09,High-quality men's grooming from Urban Decay. Designed for durability and performance.,9.5,17x6x6 cm,Purple,One Size,433,0.0,0,False,False,Heavy
12,PUM2876B,Athletic Leggings - Brown,Puma,Clothing,Activewear,97.18,"Discover why the Athletic Leggings - Brown is a customer favorite. Reliable, stylish, and affordable.",4.03,50x17x4 cm,Silver,S,226,4.6,344,False,False,Standard
