order_id,user_id,order_date,order_time,order_datetime,status,total_amount,order_source,payment_method,shipping_method,promo_code,shipping_address_id,billing_address_id,customer_notes,order_priority,timezone,shipping_region
1,25,2025-04-26 00:00:00,21:23:32,2025-04-26T21:23:32,delivered,119.41,mobile_web,credit_card,standard,,802,593,,standard,PST,PST
2,29,2024-09-19 00:00:00,21:51:47,2024-09-19T21:51:47,delivered,175.38,mobile_app,credit_card,standard,,645,645,,standard,EST,EST
3,18,2024-11-26 00:00:00,19:43:10,2024-11-26T19:43:10,delivered,668.14,mobile_app,credit_card,economy,,587,113,,standard,EST,EST
4,20,2025-07-25 00:00:00,13:01:09,2025-07-25T13:01:09,delivered,169.84,mobile_app,apple_pay,standard,,209,209,,standard,EST,EST
5,10,2025-08-02 00:00:00,14:54:38,2025-08-02T14:54:38,delivered,51.33,mobile_web,credit_card,overnight,,64,64,,medium,EST,EST
6,38,2025-01-09 00:00:00,19:43:50,2025-01-09T19:43:50,delivered,102.97,api,credit_card,standard,,386,386,,standard,Other,Other
7,13,2024-10-31 00:00:00,13:28:02,2024-10-31T13:28:02,delivered,86.27,mobile_app,debit_card,economy,,791,698,,standard,CST,CST
8,65,2024-10-09 00:00:00,11:08:04,2024-10-09T11:08:04,delivered,186.36,mobile_app,credit_card,standard,,253,253,,standard,Other,Other
9,70,2025-06-07 00:00:00,16:15:49,2025-06-07T16:15:49,delivered,675.89,mobile_web,credit_card,express,,722,722,,standard,EST,EST
10,68,2024-12-09 00:00:00,20:41:23,2024-12-09T20:41:23,delivered,1853.41,web,debit_card,economy,,815,815,,standard,Other,Other
11,5,2025-01-20 00:00:00,17:23:24,2025-01-20T17:23:24,delivered,429.0,api,debit_card,economy,,405,978,,standard,EST,EST
12,85,2025-02-04 00:00:00,16:36:02,2025-02-04T16:36:02,delivered,206.99,mobile_web,apple_pay,standard,SUMMER25,947,947,,standard,PST,PST
13,44,2025-03-22 00:00:00,20:38:09,2025-03-22T20:38:09,delivered,3385.3,mobile_app,debit_card,standard,,956,956,,standard,PST,PST
14,80,2024-09-23 00:00:00,16:28:23,2024-09-23T16:28:23,delivered,307.01,mobile_web,google_pay,express,,52,52,,medium,CST,CST
15,17,2025-05-24 00:00:00,22:23:28,2025-05-24T22:23:28,delivered,273.72,web,apple_pay,standard,HOLIDAY15,484,484,,standard,PST,PST
16,77,2024-12-29 00:00:00,10:48:04,2024-12-29T10:48:04,shipped,90.49,mobile_app,credit_card,standard,,417,417,,standard,PST,PST
17,49,2024-12-14 00:00:00,16:36:08,2024-12-14T16:36:08,delivered,91.99,api,apple_pay,economy,,295,295,,standard,PST,PST
18,97,2025-07-19 00:00:00,19:33:23,2025-07-19T19:33:23,delivered,144.21,mobile_web,credit_card,economy,NEWUSER,757,757,,standard,Other,Other
19,21,2024-11-10 00:00:00,18:25:20,2024-11-10T18:25:20,delivered,372.67,mobile_app,credit_card,express,,181,38,,standard,MST,MST
20,24,2024-09-16 00:00:00,17:41:17,2024-09-16T17:41:17,delivered,2019.84,web,debit_card,express,,986,297,,standard,CST,CST
21,87,2025-02-08 00:00:00,17:15:07,2025-02-08T17:15:07,shipped,118.44,mobile_web,debit_card,economy,,344,344,,standard,PST,PST
22,22,2025-08-01 00:00:00,14:01:47,2025-08-01T14:01:47,delivered,138.53,web,debit_card,standard,,872,872,,standard,EST,EST
23,57,2025-02-26 00:00:00,13:11:31,2025-02-26T13:11:31,delivered,1167.29,web,credit_card,standard,,664,664,,medium,CST,CST
24,6,2025-04-07 00:00:00,18:33:24,2025-04-07T18:33:24,delivered,706.77,web,debit_card,standard,,776,776,,standard,CST,CST
25,53,2025-06-21 00:00:00,18:58:35,2025-06-21T18:58:35,delivered,264.97,mobile_app,paypal,economy,,336,336,,standard,EST,EST
26,47,2025-04-05 00:00:00,19:07:16,2025-04-05T19:07:16,delivered,122.43,mobile_web,credit_card,standard,FREESHIP,7,7,,standard,CST,CST
27,31,2024-12-10 00:00:00,20:49:16,2024-12-10T20:49:16,delivered,647.77,web,debit_card,economy,,741,741,,standard,EST,EST
28,78,2024-10-10 00:00:00,15:45:28,2024-10-10T15:45:28,delivered,161.64,web,credit_card,standard,,477,477,,standard,PST,PST
29,37,2025-03-02 00:00:00,15:13:39,2025-03-02T15:13:39,delivered,807.62,mobile_app,debit_card,economy,,319,319,,standard,EST,EST
30,58,2024-10-13 00:00:00,18:18:44,2024-10-13T18:18:44,delivered,773.03,web,credit_card,economy,,981,981,,standard,EST,EST
31,30,2025-07-13 00:00:00,17:58:31,2025-07-13T17:58:31,delivered,446.79,mobile_app,credit_card,economy,,563,776,,standard,CST,CST
32,69,2025-07-09 00:00:00,17:12:07,2025-07-09T17:12:07,delivered,222.43,mobile_app,paypal,standard,,773,773,,standard,EST,EST
33,74,2024-10-28 00:00:00,18:08:54,2024-10-28T18:08:54,delivered,307.91,web,paypal,express,,940,940,,standard,EST,EST
34,40,2024-10-21 00:00:00,20:04:28,2024-10-21T20:04:28,delivered,284.25,web,debit_card,economy,,154,154,,standard,CST,CST
35,61,2024-09-08 00:00:00,13:11:57,2024-09-08T13:11:57,delivered,237.19,mobile_app,credit_card,economy,,501,501,,standard,MST,MST
36,100,2024-09-27 00:00:00,14:45:28,2024-09-27T14:45:28,delivered,5222.46,mobile_web,credit_card,standard,,468,468,,high,CST,CST
37,48,2025-07-23 00:00:00,09:05:51,2025-07-23T09:05:51,delivered,120.52,web,credit_card,express,,837,837,Call before delivery,medium,EST,EST
38,88,2025-07-04 00:00:00,16:43:54,2025-07-04T16:43:54,delivered,534.92,web,credit_card,standard,,555,958,,standard,CST,CST
39,66,2024-11-29 00:00:00,07:20:42,2024-11-29T07:20:42,delivered,403.79,mobile_app,paypal,economy,,185,185,,standard,EST,EST
40,72,2024-10-24 00:00:00,15:22:45,2024-10-24T15:22:45,delivered,1599.72,mobile_app,credit_card,express,,913,913,,medium,EST,EST
41,99,2024-11-19 00:00:00,16:04:35,2024-11-19T16:04:35,delivered,480.91,web,debit_card,standard,,678,137,,standard,CST,CST
42,47,2025-07-20 00:00:00,13:34:18,2025-07-20T13:34:18,delivered,90.62,api,credit_card,economy,,542,542,,standard,EST,EST
43,29,2025-02-06 00:00:00,16:57:19,2025-02-06T16:57:19,delivered,183.13,web,credit_card,standard,,475,475,,standard,EST,EST
44,39,2025-01-26 00:00:00,21:54:10,2025-01-26T21:54:10,delivered,540.67,mobile_web,credit_card,standard,,355,355,,standard,EST,EST
45,53,2025-05-28 00:00:00,07:45:59,2025-05-28T07:45:59,delivered,314.64,web,apple_pay,standard,,630,630,Deliver to back door,standard,PST,PST
46,97,2025-05-06 00:00:00,19:44:40,2025-05-06T19:44:40,shipped,825.73,web,apple_pay,standard,,35,35,,standard,CST,CST
47,82,2025-09-03 00:00:00,14:11:50,2025-09-03T14:11:50,shipped,385.0,web,paypal,economy,,46,46,,standard,EST,EST
48,81,2025-05-12 00:00:00,10:23:32,2025-05-12T10:23:32,delivered,916.06,web,credit_card,economy,,516,240,,standard,EST,EST
49,14,2024-10-06 00:00:00,16:14:07,2024-10-06T16:14:07,delivered,5026.05,mobile_app,credit_card,economy,,689,243,,standard,CST,CST
50,26,2025-04-18 00:00:00,18:12:50,2025-04-18T18:12:50,delivered,1974.65,web,credit_card,standard,,308,308,,standard,EST,EST
51,65,2025-04-19 00:00:00,12:08:15,2025-04-19T12:08:15,delivered,317.53,mobile_web,credit_card,economy,,696,696,,standard,PST,PST
52,88,2024-12-13 00:00:00,17:50:31,2024-12-13T17:50:31,delivered,4624.38,mobile_app,credit_card,standard,,805,805,,standard,PST,PST
53,56,2025-08-26 00:00:00,09:01:23,2025-08-26T09:01:23,delivered,42.82,api,credit_card,standard,,551,551,,standard,PST,PST
