order_id,product_id,quantity,unit_price,total_price,discount_amount,discount_rate,tax_amount,tax_rate,shipping_cost,product_variant,is_gift_wrapped,is_bulk_order,cross_sell_item
1,38,1,108.85,119.41,16.33,0.15,7.4,0.08,19.48,Standard,False,False,False
2,41,2,79.13,175.38,7.91,0.05,12.03,0.08,12.99,Standard,False,False,False
3,34,4,79.47,265.47,79.47,0.25,19.07,0.08,7.99,Standard,True,False,False
3,2,2,135.19,285.41,13.52,0.05,20.55,0.08,7.99,Standard,False,False,False
3,16,2,57.71,117.26,18.86,0.163,7.72,0.08,12.99,Standard,False,False,True
4,12,1,97.18,117.94,0.0,0.0,7.77,0.08,12.99,Standard,True,False,False
4,20,1,40.66,51.9,0.0,0.0,3.25,0.08,7.99,Standard,False,False,False
5,47,1,37.37,51.33,1.87,0.05,2.84,0.08,12.99,Standard,False,False,False
6,15,4,21.93,102.97,4.39,0.05,6.67,0.08,12.99,Standard,False,False,False
7,23,1,25.22,37.5,2.52,0.1,1.82,0.08,12.99,Standard,False,False,False
7,29,1,50.34,48.77,12.58,0.25,3.02,0.08,7.99,Standard,False,False,False
8,47,5,35.41,186.36,17.7,0.1,12.75,0.08,14.29,Standard,False,False,False
9,50,2,24.61,50.2,14.77,0.3,2.76,0.08,12.99,Standard,False,False,False
9,42,1,70.7,76.89,10.61,0.15,4.81,0.08,11.98,Standard,False,False,False
9,9,5,130.22,548.8,162.77,0.25,39.06,0.08,21.43,Standard,False,False,False
10,7,1,381.38,390.19,38.14,0.1,27.46,0.08,19.48,Standard,False,False,False
10,41,20,58.31,898.54,349.86,0.3,65.31,0.08,16.89,Standard,False,True,False
10,21,7,25.74,169.94,36.03,0.2,11.53,0.08,14.29,Standard,False,False,False
10,45,3,138.62,394.74,62.38,0.15,28.28,0.08,12.99,Standard,False,False,False
11,41,1,83.3,102.95,0.0,0.0,6.66,0.08,12.99,Standard,False,False,False
11,39,1,166.9,193.24,0.0,0.0,13.35,0.08,12.99,Standard,False,False,False
11,15,1,23.08,37.92,0.0,0.0,1.85,0.08,12.99,Standard,False,False,False
11,4,1,69.82,94.89,0.0,0.0,5.59,0.08,19.48,Standard,False,False,False
12,9,1,173.62,206.99,0.0,0.0,13.89,0.08,19.48,Standard,False,False,False
13,17,3,210.47,591.61,94.71,0.15,42.94,0.08,11.98,Standard,False,False,False
13,49,15,220.52,1981.7,1488.49,0.45,145.54,0.08,16.89,Standard,False,True,False
13,30,8,115.41,811.99,184.65,0.2,59.09,0.08,14.29,Standard,False,False,False
14,8,1,44.91,61.49,0.0,0.0,3.59,0.08,12.99,Standard,False,False,False
14,43,5,36.16,190.04,18.08,0.1,13.02,0.08,14.29,Standard,False,False,False
14,47,1,39.34,55.48,0.0,0.0,3.15,0.08,12.99,Standard,False,False,False
15,29,1,67.12,80.48,0.0,0.0,5.37,0.08,7.99,Standard,False,False,False
15,39,1,166.9,193.24,0.0,0.0,13.35,0.08,12.99,Standard,False,False,False
16,27,1,28.6,37.7,5.72,0.2,1.83,0.08,12.99,Standard,False,False,False
16,33,2,24.58,52.79,7.67,0.156,3.32,0.08,7.99,Standard,False,False,True
17,8,1,42.66,56.76,2.13,0.05,3.24,0.08,12.99,Standard,False,False,False
17,21,1,25.74,35.23,5.15,0.2,1.65,0.08,12.99,Standard,False,False,False
18,1,5,34.37,144.21,51.56,0.3,9.62,0.08,14.29,Standard,False,False,False
19,48,1,348.03,372.67,17.4,0.05,26.45,0.08,15.59,Standard,False,False,False
20,49,2,400.94,879.02,0.0,0.0,64.15,0.08,12.99,Standard,False,False,False
20,29,3,57.17,165.74,25.43,0.148,11.69,0.08,7.99,Standard,False,False,True
20,22,7,141.21,975.08,98.85,0.1,71.17,0.08,14.29,Standard,False,False,False
21,27,3,26.81,78.14,20.11,0.25,4.83,0.08,12.99,Standard,False,False,False
21,23,1,26.62,40.3,1.33,0.05,2.02,0.08,12.99,Standard,False,False,False
22,31,1,128.27,138.53,0.0,0.0,10.26,0.08,0.0,Standard,False,False,False
23,29,4,63.76,269.68,12.75,0.05,19.38,0.08,7.99,Standard,False,False,False
23,49,3,330.86,897.61,173.49,0.175,65.53,0.08,12.99,Standard,False,False,True
24,9,1,173.62,206.99,0.0,0.0,13.89,0.08,19.48,Standard,False,False,False
24,42,2,69.18,136.25,23.29,0.168,9.21,0.08,11.98,Standard,False,False,True
24,4,2,69.82,170.29,0.0,0.0,11.17,0.08,19.48,Standard,True,False,False
24,39,1,166.9,193.24,0.0,0.0,13.35,0.08,12.99,Standard,False,False,False
25,4,1,62.84,80.56,6.28,0.1,4.52,0.08,19.48,Standard,False,False,False
25,50,7,28.13,184.41,39.38,0.2,12.6,0.08,14.29,Standard,False,False,False
26,34,1,105.96,122.43,0.0,0.0,8.48,0.08,7.99,Standard,False,False,False
27,12,1,77.74,80.16,15.55,0.2,4.98,0.08,12.99,Standard,False,False,False
27,8,1,42.66,56.76,2.13,0.05,3.24,0.08,12.99,Standard,False,False,False
27,6,7,84.83,463.23,178.15,0.3,33.25,0.08,14.29,Standard,False,False,False
27,20,1,38.63,47.62,1.93,0.05,2.94,0.08,7.99,Standard,False,False,False
28,33,6,26.21,161.64,15.72,0.1,11.32,0.08,8.79,Standard,False,False,False
29,27,32,28.6,807.62,183.04,0.2,58.57,0.08,16.89,Standard,False,True,False
30,41,1,83.3,102.95,0.0,0.0,6.66,0.08,12.99,Standard,False,False,False
30,29,3,63.76,204.26,9.56,0.05,14.54,0.08,7.99,Standard,False,False,False
30,15,1,19.62,31.0,2.94,0.15,1.33,0.08,12.99,Standard,False,False,False
30,30,3,137.05,434.82,20.56,0.05,31.25,0.08,12.99,Standard,False,False,False
31,22,4,125.52,446.79,100.42,0.2,32.13,0.08,12.99,Standard,False,False,False
32,44,14,21.05,222.43,103.13,0.35,15.32,0.08,15.58,Standard,False,True,False
33,9,1,156.26,171.36,15.63,0.1,11.25,0.08,19.48,Standard,False,False,False
33,42,2,69.26,136.55,23.18,0.167,9.23,0.08,11.98,Standard,False,False,True
34,22,1,156.9,182.44,0.0,0.0,12.55,0.08,12.99,Standard,False,False,False
34,42,1,83.18,101.81,0.0,0.0,6.65,0.08,11.98,Standard,False,False,False
35,39,1,166.9,193.24,0.0,0.0,13.35,0.08,12.99,Standard,False,False,False
35,43,1,33.94,43.95,5.27,0.155,2.29,0.08,12.99,Standard,False,False,True
36,22,48,125.52,5222.46,1204.99,0.2,385.6,0.08,16.89,Standard,False,True,False
37,1,1,46.64,60.85,2.33,0.05,3.55,0.08,12.99,Standard,False,False,False
37,13,1,45.5,59.67,2.27,0.05,3.46,0.08,12.99,Standard,False,False,False
38,8,1,42.66,56.76,2.13,0.05,3.24,0.08,12.99,Standard,False,False,False
38,28,2,159.63,288.83,63.85,0.2,20.43,0.08,12.99,Standard,False,False,False
38,10,1,131.0,142.4,6.55,0.05,9.96,0.08,7.99,Standard,False,False,False
38,1,1,39.28,46.93,7.86,0.2,2.51,0.08,12.99,Standard,False,False,False
39,49,1,380.89,403.79,19.04,0.05,28.95,0.08,12.99,Standard,False,False,False
40,48,1,311.4,301.45,46.71,0.15,21.18,0.08,15.59,Standard,False,False,False
40,25,1,81.81,101.34,0.0,0.0,6.54,0.08,12.99,Standard,False,False,False
40,6,9,109.07,968.44,98.16,0.1,70.68,0.08,14.29,Standard,True,False,False
40,28,1,199.54,228.49,0.0,0.0,15.96,0.08,12.99,Standard,False,False,False
41,42,1,70.7,76.89,10.61,0.15,4.81,0.08,11.98,Standard,False,False,False
41,9,3,143.55,404.02,74.59,0.173,28.48,0.08,19.48,Standard,True,False,True
42,26,1,65.87,90.62,0.0,0.0,5.27,0.08,19.48,Standard,False,False,False
43,17,1,198.09,183.13,39.62,0.2,12.68,0.08,11.98,Standard,False,False,False
44,25,1,77.72,92.73,3.89,0.05,5.91,0.08,12.99,Standard,False,False,False
44,20,13,30.49,331.5,99.11,0.25,23.79,0.08,10.39,Standard,False,True,False
44,21,6,22.52,116.44,40.53,0.3,7.57,0.08,14.29,Standard,False,False,False
45,39,1,150.21,158.99,15.02,0.1,10.82,0.08,12.99,Standard,False,False,False
45,45,1,146.77,155.65,14.68,0.1,10.57,0.08,12.99,Standard,False,False,False
46,39,1,158.56,175.67,7.93,0.05,12.05,0.08,12.99,Standard,False,False,False
46,43,2,32.46,69.62,12.48,0.192,4.19,0.08,12.99,Standard,False,False,True
46,15,14,17.31,213.19,60.58,0.25,14.54,0.08,16.89,Standard,False,True,False
46,32,2,172.64,367.25,17.26,0.05,26.24,0.08,12.99,Standard,False,False,False
47,12,1,92.32,107.71,4.62,0.05,7.02,0.08,12.99,Standard,False,False,False
47,42,6,58.23,277.29,104.81,0.3,19.56,0.08,13.18,Standard,False,False,False
48,45,8,130.46,916.06,208.74,0.2,66.8,0.08,14.29,Standard,False,False,False
49,30,43,115.41,4304.53,992.51,0.2,317.6,0.08,16.89,Standard,False,True,False
49,32,4,172.64,721.52,34.53,0.05,52.48,0.08,12.99,Standard,False,False,False
50,30,4,108.2,363.54,108.2,0.25,25.97,0.08,12.99,Standard,False,False,False
50,29,28,40.27,741.09,451.05,0.4,54.13,0.08,10.39,Standard,False,True,False
50,4,1,66.33,87.53,3.32,0.05,5.04,0.08,19.48,Standard,False,False,False
50,26,1,62.58,83.68,3.13,0.05,4.76,0.08,19.48,Standard,False,False,False
50,9,5,147.58,698.81,110.68,0.15,50.18,0.08,21.43,Standard,False,False,False
51,27,7,32.18,233.21,22.52,0.1,16.22,0.08,14.29,Standard,False,False,False
51,33,3,26.19,84.32,7.9,0.101,5.65,0.08,7.99,Standard,False,False,True
52,2,12,106.73,1047.83,320.2,0.25,76.85,0.08,10.39,Standard,False,True,False
52,6,1,115.13,131.11,5.76,0.05,8.75,0.08,12.99,Standard,False,False,False
52,35,29,127.54,3012.92,924.7,0.25,221.93,0.08,16.89,Standard,False,True,False
52,7,1,402.57,432.52,20.13,0.05,30.6,0.08,19.48,Standard,False,False,False
53,1,1,36.83,42.82,9.21,0.25,2.21,0.08,12.99,Standard,False,False,False
54,37,1,23.57,33.45,0.0,0.0,1.89,0.08,7.99,Standard,False,False,False
54,17,1,210.47,205.19,31.57,0.15,14.31,0.08,11.98,Standard,False,False,False
54,47,3,34.25,109.59,13.3,0.129,7.16,0.08,12.99,Standard,False,False,True
54,12,1,97.18,117.94,0.0,0.0,7.77,0.08,12.99,Standard,False,False,False
54,18,5,5.65,41.76,2.83,0.1,2.03,0.08,14.29,Standard,False,False,False
54,39,1,166.9,193.24,0.0,0.0,13.35,0.08,12.99,Standard,False,False,False
55,9,1,147.58,154.96,22.14,0.15,10.04,0.08,19.48,Standard,False,False,False
55,42,3,72.62,217.42,27.65,0.127,15.22,0.08,11.98,Standard,False,False,True
56,6,5,90.89,382.4,113.62,0.25,27.27,0.08,14.29,Standard,False,False,False
56,32,1,181.73,209.26,0.0,0.0,14.54,0.08,12.99,Standard,True,False,False
57,13,1,45.5,59.67,2.27,0.05,3.46,0.08,12.99,Standard,False,False,False
57,1,1,46.64,60.85,2.33,0.05,3.55,0.08,12.99,Standard,False,False,False
57,6,1,115.13,131.11,5.76,0.05,8.75,0.08,12.99,Standard,False,False,False
58,15,29,13.85,277.12,160.64,0.4,19.28,0.08,16.89,Standard,False,True,False
58,39,1,158.56,175.67,7.93,0.05,12.05,0.08,12.99,Standard,False,False,False
58,29,1,63.76,73.41,3.19,0.05,4.85,0.08,7.99,Standard,False,False,False
58,21,1,25.74,35.23,5.15,0.2,1.65,0.08,12.99,Standard,False,False,False
58,9,1,164.94,188.71,8.25,0.05,12.54,0.08,19.48,Standard,False,False,False
58,6,9,103.01,865.37,139.07,0.15,63.04,0.08,14.29,Standard,False,False,False
59,39,1,158.56,175.67,7.93,0.05,12.05,0.08,12.99,Standard,False,False,False
59,30,30,108.2,2646.03,811.46,0.25,194.75,0.08,16.89,Standard,False,True,False
59,27,4,32.18,138.09,12.87,0.1,9.27,0.08,12.99,Standard,False,False,False
60,49,1,340.8,325.84,51.12,0.15,23.17,0.08,12.99,Standard,False,False,False
61,15,1,19.62,31.0,2.94,0.15,1.33,0.08,12.99,Standard,False,False,False
61,49,1,400.94,446.01,0.0,0.0,32.08,0.08,12.99,Standard,False,False,False
61,29,1,57.05,60.36,8.56,0.15,3.88,0.08,7.99,Standard,False,False,False
61,28,1,169.61,168.69,25.44,0.15,11.53,0.08,12.99,Standard,True,False,False
62,41,1,74.97,85.86,7.5,0.1,5.4,0.08,12.99,Standard,False,False,False
62,30,1,129.83,139.19,12.98,0.1,9.35,0.08,12.99,Standard,False,False,False
62,7,6,339.01,1778.85,406.81,0.2,130.18,0.08,21.43,Standard,False,False,False
63,47,5,33.44,167.78,25.08,0.15,11.37,0.08,14.29,Standard,False,False,False
63,11,4,13.58,65.79,5.43,0.1,3.91,0.08,12.99,Standard,True,False,False
64,23,7,25.22,185.87,17.65,0.1,12.71,0.08,14.29,Standard,False,False,False
65,29,70,50.34,2864.67,880.95,0.25,211.43,0.08,10.39,Standard,False,True,False
65,49,3,345.87,979.66,142.53,0.137,71.61,0.08,12.99,Standard,False,False,True
65,47,1,31.47,40.18,6.29,0.2,2.01,0.08,12.99,Standard,False,False,False
66,7,4,339.01,1191.09,271.21,0.2,86.79,0.08,19.48,Standard,False,False,False
66,9,1,147.58,154.96,22.14,0.15,10.04,0.08,19.48,Standard,True,False,False
67,31,44,76.96,2194.34,1354.53,0.4,162.54,0.08,0.0,Standard,False,True,False
67,13,10,28.73,203.09,114.94,0.4,13.79,0.08,16.89,Standard,False,True,False
67,41,1,79.13,94.18,3.96,0.05,6.01,0.08,12.99,Standard,False,False,False
67,43,1,38.17,52.15,1.91,0.05,2.9,0.08,12.99,Standard,False,False,False
67,42,3,74.86,230.28,22.46,0.1,16.17,0.08,11.98,Standard,False,False,False
