order_id,user_id,order_date,shipping_date,status,total_amount
1,9432,2025-07-24,2025-07-31,delivered,98.44
2,7,2025-04-02,2025-04-08,delivered,388.81
3,3998,2025-06-04,2025-06-10,delivered,830.92
4,1,2024-12-30,2025-01-05,shipped,255.69
5,1747,2025-04-29,2025-05-03,returned,22.36
6,3586,2025-07-14,2025-07-19,delivered,1031.56
7,9,2025-05-15,2025-05-21,delivered,220.08
8,9133,2025-03-28,2025-04-04,delivered,1102.17
9,2,2024-09-07,2024-09-13,delivered,3213.83
10,7613,2025-05-21,2025-05-26,delivered,1319.76
