product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
1,DEL5803C,Lightning Cable - Gray,Dell,Electronics,Accessories,117.58,High-quality accessories from Dell. Designed for durability and performance.,8.57,11x29x10 cm,Silver,One Size,0,3.6,42,False,False,Heavy
2,PUM7216C,Puma Boots - Navy (Small),Puma,Clothing,Shoes,198.32,Step out in style with the Puma Boots - Navy (Small). Comfortable fit and durable construction for everyday wear.,8.24,25x30x10 cm,Gold,One Size,180,4.4,34,False,False,Heavy
3,PLA9830C,Playmobil Virtual Reality Set - Navy,Playmobil,Toys,Electronic,231.69,The Playmobil Virtual Reality Set - Navy combines form and function for the perfect addition to your collection.,4.99,8x12x6 cm,Beige,One Size,97,3.7,22,False,False,Standard
4,INS1188A,Instant Pot Night Light,Instant Pot,Home,Lighting,212.47,High-quality lighting from Instant Pot. Designed for durability and performance.,3.01,15x34x2 cm,Various,One Size,73,3.4,48,False,False,Standard
5,WIL9317B,Soccer Ball - Orange,Wilson,Sports,Team Sports,35.63,High-quality team sports from Wilson. Designed for durability and performance.,6.03,36x6x5 cm,Various,One Size,143,5.0,321,False,False,Heavy
6,L'O2403D,Hair Oil,L'Oréal,Beauty,Hair Care,50.8,"Discover why the Hair Oil is a customer favorite. Reliable, stylish, and affordable.",9.47,15x21x18 cm,Various,One Size,37,0.0,0,False,False,Heavy
7,YET7118D,Yeti Swim Fins,Yeti,Sports,Water Sports,227.41,High-quality water sports from Yeti. Designed for durability and performance.,5.92,19x42x9 cm,Navy,One Size,68,4.1,106,False,False,Heavy
8,SAM4510B,Samsung Gaming PC RTX 4080,Samsung,Electronics,Gaming,764.95,High-quality gaming from Samsung. Designed for durability and performance.,1.06,32x27x15 cm,Silver,One Size,126,4.2,68,False,False,Standard
9,LEG2790B,American Girl Doll,LEGO,Toys,Dolls,41.78,High-quality dolls from LEGO. Designed for durability and performance.,4.49,40x11x3 cm,Gray,One Size,193,3.3,36,False,False,Standard
10,GAP3697D,Gap A-Line Dress,Gap,Clothing,Dresses,30.26,The Gap A-Line Dress combines form and function for the perfect addition to your collection.,6.65,36x14x8 cm,Black,Medium,121,3.9,94,True,False,Heavy
11,DEL2312B,Dell Screen Protector,Dell,Electronics,Accessories,18.36,The Dell Screen Protector delivers exceptional value and quality. Perfect for everyday use.,5.83,7x44x4 cm,Brown,One Size,440,4.3,165,False,False,Heavy
12,OLA5915D,Olay Hair Serum - Orange,Olay,Beauty,Hair Care,25.81,High-quality hair care from Olay. Designed for durability and performance.,0.83,18x37x10 cm,Yellow,One Size,0,3.5,77,False,False,Light
13,REV9666A,Bath Bombs,Revlon,Beauty,Body Care,28.38,Experience the difference with the Bath Bombs. Premium materials and expert craftsmanship.,1.24,11x40x6 cm,Brown,One Size,31,4.4,54,False,False,Standard
14,BAR1832A,Barbie Word Search,Barbie,Toys,Puzzles,34.64,Experience the difference with the Barbie Word Search. Premium materials and expert craftsmanship.,1.7,33x40x15 cm,White,One Size,0,3.8,21,True,False,Standard
15,LUL1653C,Lululemon Sweater - Red (XXL),Lululemon,Clothing,Tops,28.65,The Lululemon Sweater - Red (XXL) offers the perfect blend of comfort and style. Versatile design for any occasion.,9.74,14x20x7 cm,Various,One Size,305,4.0,163,False,True,Heavy
16,DIS5065C,Coding Robot,Disney,Toys,Educational,31.72,The Coding Robot delivers exceptional value and quality. Perfect for everyday use.,8.18,34x27x11 cm,Various,One Size,14,3.8,33,False,False,Heavy
17,PLA5573C,Playmobil Candy Land - Beige,Playmobil,Toys,Board Games,105.19,High-quality board games from Playmobil. Designed for durability and performance.,8.78,21x16x20 cm,Various,One Size,142,5.0,64,False,False,Heavy
18,PHI2894D,Philips File Organizer,Philips,Home,Storage,181.91,The Philips File Organizer combines form and function for the perfect addition to your collection.,9.26,39x48x8 cm,White,One Size,16,4.2,20,False,False,Heavy
19,COL7691C,Bike Lights - Green,Coleman,Sports,Cycling,231.08,"Discover why the Bike Lights - Green is a customer favorite. Reliable, stylish, and affordable.",6.81,16x44x20 cm,Gray,One Size,37,3.6,90,False,False,Heavy
20,UND3780A,Under Armour Lingerie Set (Small),Under Armour,Clothing,Underwear,17.08,The Under Armour Lingerie Set (Small) delivers exceptional value and quality. Perfect for everyday use.,6.76,19x17x6 cm,Blue,One Size,28,4.7,434,False,False,Heavy
