order_id,product_id,quantity,unit_price,total_price,discount_amount,discount_rate,tax_amount,tax_rate,shipping_cost,product_variant,is_gift_wrapped,is_bulk_order,cross_sell_item
1,16,1,22.2,29.78,6.66,0.3,1.24,0.08,12.99,Standard,False,False,False
1,17,1,73.63,68.66,22.09,0.3,4.12,0.08,12.99,Standard,False,False,False
2,20,2,17.08,49.88,0.0,0.0,2.73,0.08,12.99,Standard,False,False,False
2,13,7,21.28,129.48,37.25,0.25,8.94,0.08,8.79,Standard,False,False,False
2,18,1,181.91,209.45,0.0,0.0,14.55,0.08,12.99,Standard,False,False,False
3,8,1,726.7,755.19,36.34,0.05,55.23,0.08,9.59,Standard,False,False,False
3,20,2,16.23,46.29,1.62,0.05,2.47,0.08,12.99,Standard,False,False,False
3,11,1,15.34,29.44,2.52,0.164,1.03,0.08,15.59,Standard,False,False,True
4,16,1,31.72,47.25,0.0,0.0,2.54,0.08,12.99,Standard,False,False,False
4,5,6,32.07,208.44,19.24,0.1,13.85,0.08,21.43,Standard,False,False,False
5,15,1,24.35,22.36,3.65,0.15,1.66,0.08,0.0,Standard,False,False,False
6,15,1,25.78,25.06,2.58,0.1,1.86,0.08,0.0,Standard,False,False,False
6,19,6,184.86,979.76,221.84,0.2,70.99,0.08,21.43,Standard,False,False,False
6,11,1,13.77,26.74,3.44,0.25,0.83,0.08,15.59,Standard,False,False,False
7,4,1,201.85,220.08,10.09,0.05,15.34,0.08,12.99,Standard,False,False,False
8,17,9,78.89,589.42,177.51,0.25,42.6,0.08,14.29,Standard,False,False,False
8,18,4,118.24,345.01,165.54,0.35,24.59,0.08,12.99,Standard,True,False,False
8,2,1,168.57,167.74,25.29,0.15,11.46,0.08,12.99,Standard,False,False,False
9,9,6,31.34,166.58,47.0,0.25,11.28,0.08,14.29,Standard,False,False,False
9,5,1,30.29,47.28,4.54,0.15,2.06,0.08,19.48,Standard,False,False,False
9,4,52,106.24,2999.97,2762.11,0.5,220.97,0.08,16.89,Standard,False,True,False
10,6,1,48.26,62.5,2.41,0.05,3.67,0.08,12.99,Standard,False,False,False
10,10,3,22.7,68.14,17.02,0.25,4.09,0.08,12.99,Standard,False,False,False
10,7,3,170.56,433.93,127.92,0.25,30.7,0.08,19.48,Standard,False,False,False
10,8,1,726.7,755.19,36.34,0.05,55.23,0.08,9.59,Standard,False,False,False
