product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,MagSafe Charger,Apple,Electronics,Accessories,144.79,150,3.7,High-quality accessories from Apple. MagSafe Charger features premium materials and cutting-edge technology. Perfect for both personal and professional use.
2,Foaming Facial Cleanser,CeraVe,Beauty,Skincare,85.0,185,5.0,Professional-grade skincare from CeraVe. Foaming Facial Cleanser delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
3,Studio Fix Foundation,MAC,Beauty,Makeup,106.95,85,3.5,Professional-grade makeup from MAC. Studio Fix Foundation delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
4,"MacBook Pro 16""",Apple,Electronics,Laptops,3519.99,27,5.0,"High-quality laptops from Apple. MacBook Pro 16"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
5,Naked Eyeshadow Palette,Urban Decay,Beauty,Makeup,23.49,436,5.0,Professional-grade makeup from Urban Decay. Naked Eyeshadow Palette delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
6,"iPad Pro 12.9""",Apple,Electronics,Tablets,554.79,87,5.0,"High-quality tablets from Apple. iPad Pro 12.9"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
7,Galaxy Buds Live,Samsung,Electronics,Headphones,78.0,58,4.4,High-quality headphones from Samsung. Galaxy Buds Live features premium materials and cutting-edge technology. Perfect for both personal and professional use.
8,React Element 55,Nike,Clothing,Shoes,248.0,40,5.0,Stylish and comfortable shoes from Nike. React Element 55 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
9,Studio Moisture Cream,MAC,Beauty,Skincare,102.99,99,4.0,Professional-grade skincare from MAC. Studio Moisture Cream delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
10,Air Max 270,Nike,Clothing,Shoes,213.0,41,2.8,Stylish and comfortable shoes from Nike. Air Max 270 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
11,Windbreaker,Nike,Clothing,Activewear,28.99,364,5.0,Stylish and comfortable activewear from Nike. Windbreaker is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
12,Adicolor Backpack,Adidas,Clothing,Accessories,99.79,161,5.0,Stylish and comfortable accessories from Adidas. Adicolor Backpack is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
13,Barbie Fashionista Doll,Mattel,Toys,Dolls,74.99,135,5.0,Fun and educational dolls from Mattel. Barbie Fashionista Doll encourages creativity and learning through play. Safe for children and built to last.
14,Air Force 1,Nike,Clothing,Shoes,102.95,102,5.0,Stylish and comfortable shoes from Nike. Air Force 1 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
15,Niacinamide 10% + Zinc 1%,The Ordinary,Beauty,Skincare,22.99,280,2.8,Professional-grade skincare from The Ordinary. Niacinamide 10% + Zinc 1% delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
16,Galaxy Z Fold5,Samsung,Electronics,Smartphones,675.0,96,2.6,High-quality smartphones from Samsung. Galaxy Z Fold5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
17,Gym Bag,Nike,Clothing,Accessories,42.99,176,5.0,Stylish and comfortable accessories from Nike. Gym Bag is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
18,iPad,Apple,Electronics,Tablets,1019.79,71,5.0,High-quality tablets from Apple. iPad features premium materials and cutting-edge technology. Perfect for both personal and professional use.
19,Alpha 7 IV,Sony,Electronics,Cameras,1269.0,54,4.3,High-quality cameras from Sony. Alpha 7 IV features premium materials and cutting-edge technology. Perfect for both personal and professional use.
20,Air Jordan 1,Nike,Clothing,Shoes,119.79,33,5.0,Stylish and comfortable shoes from Nike. Air Jordan 1 is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
21,Denali Fleece Jacket,North Face,Sports,Outdoor,194.99,104,2.6,High-performance outdoor from North Face. Denali Fleece Jacket is designed for athletes and fitness enthusiasts. Durable construction and superior comfort.
22,45W Super Fast Charger,Samsung,Electronics,Accessories,49.0,179,5.0,High-quality accessories from Samsung. 45W Super Fast Charger features premium materials and cutting-edge technology. Perfect for both personal and professional use.
23,Primeblue Hoodie,Adidas,Clothing,Activewear,55.79,58,4.5,Stylish and comfortable activewear from Adidas. Primeblue Hoodie is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
24,Organic Cotton Sheet Set,Pottery Barn,Home,Bedding,199.95,109,4.6,Beautiful and functional bedding from Pottery Barn. Organic Cotton Sheet Set combines style and practicality to enhance your living space. Easy to assemble and maintain.
25,Stan Smith,Adidas,Clothing,Shoes,145.49,53,5.0,Stylish and comfortable shoes from Adidas. Stan Smith is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
26,WH-1000XM5,Sony,Electronics,Headphones,517.0,76,4.7,High-quality headphones from Sony. WH-1000XM5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
27,iPhone SE,Apple,Electronics,Smartphones,897.95,90,5.0,High-quality smartphones from Apple. iPhone SE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
