review_id,user_id,product_id,rating,review_text,review_date
1,108,1,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-01-25
2,25,80,4.7,Beautiful Leggings! The color and fit are perfect. Will definitely buy again.,2024-10-17
3,130,29,4.6,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-04-17
4,71,7,3.7,Average Galaxy Buds Live. Not bad but not great either. Would consider other options next time.,2025-03-10
5,128,23,3.8,Nice Primeblue Hoodie but the sizing runs a bit small. Good quality overall.,2025-05-30
6,166,47,3.4,It's fine. The Eyeshadow Primer Potion does what it's supposed to do but nothing special.,2024-10-05
7,158,98,4.1,Nice Dri-FIT Socks but the sizing runs a bit small. Good quality overall.,2024-10-29
8,138,23,3.0,Average Primeblue Hoodie. Nothing special but it serves its purpose.,2025-06-14
9,30,10,5.0,Beautiful Air Max 270! The color and fit are perfect. Will definitely buy again.,2025-06-15
10,149,42,4.7,"Perfect! Fast shipping, great packaging, and the ZV-1M2 exceeded my expectations.",2025-03-27
11,59,100,2.2,Terrible fit. The Trefoil Socks is way too small despite ordering the correct size.,2025-08-03
12,189,53,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-06-22
13,19,61,5.0,Worth every penny. The Galaxy Tab S9+ is exactly what I needed and works flawlessly.,2025-07-03
14,38,28,5.0,Worth every penny. The Galaxy Tab S9 Ultra is exactly what I needed and works flawlessly.,2024-12-21
15,96,18,4.2,It's fine. Does what it's supposed to do but I've seen better in this price range.,2025-03-03
16,70,26,4.0,Works well enough. The WH-1000XM5 is functional but has some minor issues.,2025-03-23
17,16,36,2.8,Not worth the money. The Galaxy Buds2 Pro doesn't work as advertised.,2024-10-04
18,108,22,5.0,"Perfect! Fast shipping, great packaging, and the 45W Super Fast Charger exceeded my expectations.",2025-03-26
19,155,21,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-08-15
20,44,74,5.0,Absolutely love this Marble Table Lamp! The quality is outstanding and it works exactly as described.,2025-04-28
21,106,67,4.9,Amazing product! Great value for money and the quality is top-notch.,2024-10-08
22,122,60,3.7,Decent quality for the price. The iPhone 15 is okay but could be better.,2024-12-08
23,64,42,4.2,Works well enough. The ZV-1M2 is functional but has some minor issues.,2025-03-06
24,39,74,5.0,Absolutely love this Marble Table Lamp! The quality is outstanding and it works exactly as described.,2025-05-06
25,11,61,5.0,Worth every penny. The Galaxy Tab S9+ is exactly what I needed and works flawlessly.,2025-06-19
26,136,51,4.7,Absolutely love this Galaxy Buds FE! The quality is outstanding and it works exactly as described.,2025-05-19
27,116,64,3.5,Good Eyeshadow Palette. Works well but the packaging could be better.,2025-05-21
28,178,94,4.2,It's fine. Does what it's supposed to do but I've seen better in this price range.,2024-10-04
29,76,31,5.0,Worth every penny. The iPhone 15 Pro is exactly what I needed and works flawlessly.,2025-05-27
30,172,40,3.4,Average Adicolor Classics. Nothing special but it serves its purpose.,2025-05-08
31,192,75,1.4,Had issues with this Galaxy Buds2 from day one. Customer service was not helpful.,2025-04-01
32,181,52,3.8,Average WF-1000XM4. Not bad but not great either. Would consider other options next time.,2025-07-10
33,181,82,1.6,Not worth the money. The iPad mini doesn't work as advertised.,2025-04-17
34,177,43,4.3,It's fine. The Gazelle fits okay but the color is slightly different than pictured.,2025-01-03
35,179,79,4.7,Amazing Prep + Prime Fix+! The quality is fantastic and it works exactly as described.,2025-04-30
36,159,43,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2024-09-24
37,14,15,4.4,Good Niacinamide 10% + Zinc 1%. Works well but the packaging could be better.,2025-08-20
38,94,47,3.5,Good Eyeshadow Primer Potion. Works well but the packaging could be better.,2025-01-15
39,144,91,5.0,Excellent quality fabric and construction. Very happy with this purchase.,2025-03-30
40,62,70,2.4,Would not recommend. The Tiro Pants is overpriced for such poor quality.,2025-07-03
41,180,27,5.0,"Perfect! Fast shipping, great packaging, and the iPhone SE exceeded my expectations.",2024-09-08
42,91,35,4.4,"Good AirPods Max, works as expected. Nothing extraordinary but gets the job done.",2025-03-05
43,17,48,4.4,Works well enough. The Alpha 7R V is functional but has some minor issues.,2025-02-27
44,32,61,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-03-22
45,75,58,5.0,Absolutely love this iPhone 14 Pro! The quality is outstanding and it works exactly as described.,2025-08-21
46,49,59,2.4,Terrible fit. The Hoodie is way too small despite ordering the correct size.,2025-03-05
47,74,10,2.2,Terrible fit. The Air Max 270 is way too small despite ordering the correct size.,2025-04-14
48,128,20,5.0,Perfect fit and great quality! The Air Jordan 1 looks exactly like the picture.,2025-06-15
49,76,54,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-01-10
50,122,45,4.7,"Absolutely love this MacBook Air 15""! The quality is outstanding and it works exactly as described.",2025-02-14
51,75,25,2.8,Terrible fit. The Stan Smith is way too small despite ordering the correct size.,2025-01-19
52,134,83,4.5,"Perfect! Fast shipping, great packaging, and the iPhone 14 exceeded my expectations.",2025-07-10
53,125,76,5.0,Amazing product! Great value for money and the quality is top-notch.,2024-12-27
54,114,59,4.1,It's fine. The Hoodie fits okay but the color is slightly different than pictured.,2024-12-25
55,44,34,3.3,It's fine. The Vice Lipstick does what it's supposed to do but nothing special.,2024-11-08
56,198,7,2.3,Had issues with this Galaxy Buds Live from day one. Customer service was not helpful.,2024-09-17
57,159,21,5.0,Best sports purchase I've made in years. Highly recommend to anyone looking for quality.,2025-05-31
58,182,89,5.0,Best electronics purchase I've made in years. Highly recommend to anyone looking for quality.,2025-08-28
59,61,15,1.3,Poor quality. The Niacinamide 10% + Zinc 1% doesn't work as advertised and was a waste of money.,2025-04-24
60,113,34,4.2,Good Vice Lipstick. Works well but the packaging could be better.,2025-06-22
61,171,41,5.0,Great Swoosh Cap! Fits perfectly and the material is soft and comfortable.,2024-12-31
62,139,21,4.1,"Good Denali Fleece Jacket, works as expected. Nothing extraordinary but gets the job done.",2025-06-13
63,104,64,5.0,Perfect! The Eyeshadow Palette exceeded my expectations and arrived quickly.,2025-07-05
64,40,1,5.0,Amazing product! Great value for money and the quality is top-notch.,2025-04-10
