product_id,name,brand,category,subcategory,price,stock_quantity,rating,description
1,Galaxy Buds Live,Samsung,Electronics,Headphones,287.79,72,4.9,High-quality headphones from Samsung. Galaxy Buds Live features premium materials and cutting-edge technology. Perfect for both personal and professional use.
2,WF-1000XM5,Sony,Electronics,Headphones,618.79,47,4.4,High-quality headphones from Sony. WF-1000XM5 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
3,Galaxy Tab A8,Samsung,Electronics,Tablets,995.0,37,3.6,High-quality tablets from Samsung. Galaxy Tab A8 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
4,"iPad Pro 11""",Apple,Electronics,Tablets,1112.0,20,5.0,"High-quality tablets from Apple. iPad Pro 11"" features premium materials and cutting-edge technology. Perfect for both personal and professional use."
5,Galaxy Buds FE,Samsung,Electronics,Headphones,143.95,69,3.4,High-quality headphones from Samsung. Galaxy Buds FE features premium materials and cutting-edge technology. Perfect for both personal and professional use.
6,Blazer Mid,Nike,Clothing,Shoes,89.79,154,5.0,Stylish and comfortable shoes from Nike. Blazer Mid is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
7,Creator 3-in-1 Set,LEGO,Toys,Building Sets,38.95,201,3.2,Fun and educational building sets from LEGO. Creator 3-in-1 Set encourages creativity and learning through play. Safe for children and built to last.
8,Foaming Facial Cleanser,CeraVe,Beauty,Skincare,78.99,156,2.0,Professional-grade skincare from CeraVe. Foaming Facial Cleanser delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
9,Pro Shorts,Nike,Clothing,Activewear,93.99,161,3.8,Stylish and comfortable activewear from Nike. Pro Shorts is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
10,Trefoil T-Shirt,Adidas,Clothing,Activewear,98.49,46,5.0,Stylish and comfortable activewear from Adidas. Trefoil T-Shirt is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
11,Trefoil Socks,Adidas,Clothing,Accessories,13.49,295,4.2,Stylish and comfortable accessories from Adidas. Trefoil Socks is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
12,Lightful C Marine-Bright,MAC,Beauty,Skincare,155.99,84,5.0,Professional-grade skincare from MAC. Lightful C Marine-Bright delivers exceptional results with long-lasting wear. Perfect for creating your signature look.
13,FX30,Sony,Electronics,Cameras,2206.99,56,4.5,High-quality cameras from Sony. FX30 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
14,WH-CH720N,Sony,Electronics,Headphones,167.99,58,2.5,High-quality headphones from Sony. WH-CH720N features premium materials and cutting-edge technology. Perfect for both personal and professional use.
15,iPhone 14,Apple,Electronics,Smartphones,865.0,15,5.0,High-quality smartphones from Apple. iPhone 14 features premium materials and cutting-edge technology. Perfect for both personal and professional use.
16,Swoosh Cap,Nike,Clothing,Accessories,30.49,360,5.0,Stylish and comfortable accessories from Nike. Swoosh Cap is made with premium materials and designed for everyday wear. Available in multiple sizes and colors.
