order_id,user_id,order_date,shipping_date,status,total_amount
1,4387,2024-09-24,2024-09-30,delivered,454.35
2,19,2025-01-17,2025-01-22,delivered,143.34
3,5156,2024-11-30,2024-12-07,shipped,327.37
4,16,2025-05-14,2025-05-17,delivered,10.25
5,7518,2024-09-30,2024-10-07,delivered,182.76
6,5,2025-07-04,2025-07-10,delivered,159.34
7,18,2025-05-15,2025-05-18,delivered,90.68
8,9578,2024-09-19,2024-09-20,delivered,271.7
9,9561,2025-06-23,2025-06-26,delivered,247.57
10,3594,2024-09-16,2024-09-20,delivered,349.29
11,2267,2024-12-09,2024-12-11,delivered,142.01
12,1490,2024-11-20,2024-11-24,delivered,129.62
13,1797,2025-07-26,2025-07-27,shipped,92.46
14,6,2024-09-11,2024-09-17,delivered,117.19
15,6917,2025-05-03,2025-05-09,delivered,283.47
16,6305,2024-11-02,2024-11-05,delivered,207.88
17,7669,2024-12-05,2024-12-10,delivered,41.8
18,9065,2024-10-23,2024-10-30,delivered,134.42
19,189,2025-03-06,2025-03-08,shipped,130.97
20,1877,2025-05-21,2025-05-26,delivered,351.19
