product_id,sku,name,brand,category,subcategory,price,description,weight,dimensions,color,size,stock_quantity,rating,review_count,is_featured,is_digital,shipping_class
1,UNI2462B,A-Line Dress - Navy (Extra Large),Uniqlo,Clothing,Dresses,83.01,High-quality dresses from Uniqlo. Designed for durability and performance.,5.2,15x9x11 cm,Pink,Medium,129,3.7,52,False,True,Heavy
2,LUL4262C,Lululemon Denim Jacket,Lululemon,Clothing,Outerwear,142.09,Experience the difference with the Lululemon Denim Jacket. Premium materials and expert craftsmanship.,4.94,33x16x17 cm,Yellow,XL,36,4.5,173,False,False,Standard
3,FEN4511B,Fenty Beauty Moisturizer,Fenty Beauty,Beauty,Skincare,35.19,Transform your skincare routine with the Fenty Beauty Moisturizer. Clinically tested and dermatologist recommended.,0.19,13x46x7 cm,Black,One Size,109,5.0,492,False,False,Light
4,FEN4575D,Body Butter,Fenty Beauty,Beauty,Body Care,15.58,The Body Butter combines form and function for the perfect addition to your collection.,9.99,28x40x11 cm,White,One Size,154,0.0,0,False,False,Heavy
5,EST5895B,Estée Lauder Tweezers,Estée Lauder,Beauty,Tools,7.05,The Estée Lauder Tweezers delivers exceptional value and quality. Perfect for everyday use.,7.24,46x36x11 cm,Pink,One Size,158,5.0,213,False,False,Heavy
6,NEW8794C,New Balance Pool Noodle,New Balance,Sports,Water Sports,139.15,Experience the difference with the New Balance Pool Noodle. Premium materials and expert craftsmanship.,1.07,13x21x19 cm,Red,One Size,173,5.0,142,False,False,Heavy
7,FIS7889C,Fisher-Price Barbie Set,Fisher-Price,Toys,Dolls,39.16,The Fisher-Price Barbie Set combines form and function for the perfect addition to your collection.,5.85,44x9x17 cm,Various,One Size,35,3.9,86,False,False,Heavy
8,AMA6614D,Towel Set - Blue,Amazon Basics,Home,Bath,148.27,The Towel Set - Blue delivers exceptional value and quality. Perfect for everyday use.,7.81,36x26x7 cm,Black,One Size,122,0.0,0,True,False,Heavy
9,CAL8821D,Calvin Klein Cocktail Dress (One Size),Calvin Klein,Clothing,Dresses,30.56,The Calvin Klein Cocktail Dress (One Size) delivers exceptional value and quality. Perfect for everyday use.,0.28,5x45x9 cm,Gold,M,8,3.6,72,False,False,Light
10,MAY9524C,Maybelline Eau de Parfum - Navy,Maybelline,Beauty,Fragrance,98.06,The Maybelline Eau de Parfum - Navy delivers exceptional value and quality. Perfect for everyday use.,9.49,30x6x9 cm,Red,One Size,130,4.1,68,False,True,Heavy
